,mission_range,cruise_speed,duration,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
11,10,396,0.11414141414141413,1224.2911406645562,1.9855575108832475,1038.895380680048,0.085360521,0.500000001,6.304643695197881,3.6173508741676064,7.090042612693113,6.863812742056582e-07,600,145.7091367212463,221.68198891530105,185.0956359949877,71.80355055171526,194.1887916,344.6940971021225,172.67754335816554,242.21556913799688,246.66088650099945,242.21556913799688,24.770553242611868
12,10,432,0.11203703703703703,1283.633520778911,1.852341236259469,1210.1344748267145,0.087415588,0.5000402992631694,5.804119101611744,3.1088340056170973,6.459653133741932,7.520823147874808e-05,600,165.78253529725262,253.22331883180968,189.25876539272844,75.37757352507491,221.15905933468167,422.12056345368205,198.71554930308324,291.7973542339237,298.28595174753195,291.7973542339237,28.183031000532946
13,10,468,0.11025641025641025,1352.4152605419156,1.6238307153404639,1491.9049376933842,0.10285727833573666,0.4999984322626821,5.034816809963222,2.8197475448275227,5.516891574683153,7.022427938572174e-05,600,194.56355177431067,282.9082820112196,195.41302143827724,79.53878531091149,268.61260530187883,491.5458387729953,245.14080841249591,400.0468440870031,409.9524574900732,400.0468440870031,33.07580380163281
14,10,504,0.10873015873015873,1440.1432347703367,1.7253852871839204,1500,0.085691345,0.4999999999999851,5.170189357618826,2.3002453103239358,5.680570762,6.82570203935345e-07,600,212.9596702905325,343.4260269081125,198.88375806523794,84.87460568452414,278.54748349751094,646.8202361400555,253.52086879764596,377.3251886341944,389.786074,377.3251886341944,36.20314394939052
15,10,540,0.10740740740740741,1554.757612496799,1.8317223241196146,1499.9999999998734,0.073500357,0.4999999999999905,5.271872527978855,1.913887435350654,5.8041285216170575,1.8663070744619045e-06,600,237.63291160809044,421.6329366655475,203.6009203069538,91.89221004470582,294.9156308779086,847.009029,267.8709829918853,361.43125442767484,376.81302076168424,361.43125442767484,40.39759497337537
16,10,576,0.10625,1701.133063626535,1.934703045466765,1499.999999999776,0.06525599,0.5000000000029717,5.318332427212602,1.628939738580982,5.860759503995689,9.694485864295554e-07,600,269.87311496270013,520.5144179008804,209.81831918921762,100.92819617953938,319.8621159749726,1099.636263632051,290.25812481586286,354.48016983599973,373.2210997,354.48016983599973,45.878429543659024
17,20,36,0.6444444444444445,1587.1408015564443,3.8263107751269736,421.3129870268426,0.047906367,0.059235757,9.845693031707428,11.999999803412111,11.999999849430864,1.963342358466384e-08,600,507.06117027363393,193.0622361916926,193.13327110936746,93.88426410106945,161.20153212629708,132.2624522,132.26173512258163,84.55460497,84.54697522408783,84.55460497,86.20039894651777
18,20,72,0.36666666666666664,1221.3480042963656,3.3565431268520576,539.9720050752911,0.037902519,0.10536683226866136,9.845693132719166,11.999999971225826,12.000000002429974,1.0704559895285268e-07,600,223.9030069032921,146.78969472552436,179.02894131637086,71.62668852941562,124.04896108711606,101.78696382687676,101.77900033742044,84.55460281,84.55312998254036,84.55460281,38.063511173559654
19,20,108,0.2740740740740741,1134.0716995704845,3.234396682784776,556.0361052107932,0.038506003,0.15923385354173833,9.845702406916125,11.999955398600646,12.000014049750742,3.9608571100403145e-05,600,156.45568385811242,135.7783047528622,175.4447512428159,66.39925325076479,115.1844381132071,94.54135812670374,94.50586431555394,84.55440485027626,84.57765698719655,84.55440485027626,26.597466255879112
20,20,144,0.22777777777777777,1103.5407265943434,3.1057495985065064,562.5657625352324,0.043085786246296345,0.2183935071003043,9.633898516689554,11.507431399924103,11.681025795824308,0.00082091,600,131.7635220756903,132.79423840137886,174.37571847514363,64.57859611249549,114.54768022338969,95.99793396368402,94.47292950836845,89.23552438215701,89.31988444203671,89.23552438215701,22.39979875286735
