,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
10,110.0,150.107204366988,0.8216984862954708,1848.0831327074584,29.999999999999996,7.092927891789324,1.9983926206052234,2.1,198.55450313093647,0.6886328171262864,0.05075040459971883,3.000000000000001,7.17001511789981,2.336300055233777,8.213793714864353,3.580424845495145e-11,2.959054639612306e-05,600.0,438.82543367812974,253.98609293960897,467.21356273322226,88.06348307582812,257.75163682622554,50.18908749813378,224.99750990373863,180.4729689450308,82.94688247486226,180.4729689450308,74.60032372528205,0.2729121403446563,0.009153409031417752,1.3107666582675177,1149.1812462995063
11,120.0,152.20209388471753,0.8773143102296205,1901.568517721644,29.999999999999996,7.250396483995421,2.0238898835369543,2.1,201.32552101153115,0.6891916540470335,0.050314457034767425,2.9999999999999996,7.160179582735656,2.3042716598999022,8.200769704890225,3.197442310920451e-12,2.0497002463809393e-05,600.0,470.1025780275556,261.88674534058083,478.84032867989436,90.74339303514766,265.57553420959323,51.867546267952875,231.87683426687545,181.04665855831445,84.5457012052808,181.04665855831445,79.91743826468444,0.2729121403446563,0.009153409031417752,1.2995071316214124,1171.3319582540657
12,130.0,154.31333837531815,0.931330646475756,1957.6897110458626,29.999999999999996,7.40935791683918,2.0493495546663496,2.1,204.11817245412473,0.6902496738599718,0.049935460675707484,2.9999999999999973,7.147540316579965,2.2728485878858824,8.184041791962677,8.137135409924667e-11,2.3500901703976462e-05,600.0,502.91399151879057,270.2310144452334,490.9856100669475,93.5639427877513,273.896980546533,53.64642997730466,239.20817620560737,181.78752179631644,86.2528551476616,181.78752179631644,85.49537855819439,0.2729121403446563,0.009153409031417752,1.2897185241220503,1194.9835921261986
13,140.0,156.45776330397783,0.9836990730789668,2016.6664640380377,29.999999999999996,7.569952190026271,2.074794901365587,2.1,206.95471336505005,0.6916862253112838,0.0496006755599003,2.9999999999999996,7.132086869891055,2.24178091866162,8.163602684497633,6.7839067696695565e-12,8.427669300090363e-05,600.0,537.3937937125462,279.0574384273714,503.6870940481443,96.53731808379645,282.75966078759257,55.53720185751017,247.03143231941087,182.6989395014544,88.0722947156849,182.6989395014544,91.35694493113284,0.2729121403446563,0.009153409031417752,1.2810717917275893,1220.1908786204356
14,150.0,158.6462035050176,1.0343889808293547,2078.7798985975264,29.999999999999996,7.73251364748853,2.100278513520338,2.1,209.84947553573764,0.6934552280042577,0.049303704119405926,2.999999999999999,7.113829854666865,2.2109260726500604,8.139474389270276,2.2586732484342065e-10,6.201641786387145e-05,600.0,573.6971485105877,288.4134340131769,516.9982094554153,99.67898166868687,292.2167019827991,57.55194842949074,255.39485710991886,183.7837141430083,90.01116887265525,183.7837141430083,97.52851524679991,0.2729121403446563,0.009153409031417752,1.2734016999179203,1247.052862502715
15,160.0,160.88658241691607,1.0833782838179289,2144.2985664812704,29.999999999999996,7.8973225874169675,2.1258424407612426,2.1,212.81293970491544,0.6955284317784953,0.04904019137451842,3.0,7.0927989373439715,2.1801956923266523,8.111705433508693,2.2926549547719333e-10,3.768379735549775e-05,600.0,611.9848950404036,298.3450462616333,530.9707877898117,103.0039761024268,302.3205063929589,59.70238334391668,264.34620734911977,185.0441685056402,92.07660436085725,185.0441685056402,104.03743215686859,0.2729121403446563,0.009153409031417752,1.266595769546499,1275.668280679553
16,170.0,163.1899250692379,1.1306198654051949,2213.5383701356086,29.999999999999996,8.06464140927825,2.1515242481460426,2.1,215.85968924502365,0.6978621657315601,0.04880493344913374,3.0000000000000004,7.068974511262215,2.149470955550173,8.080280619927441,3.141824578278829e-10,2.1736937989212523e-05,600.0,652.4428193802171,308.90747766597167,545.6627533705038,106.52998200783776,313.1342978545223,62.003208913287374,273.94325448012546,186.4862684068778,94.27746504782381,186.4862684068778,110.91527929463689,0.2729121403446563,0.009153409031417752,1.2605195964180362,1306.1599369265048
17,180.0,165.57496680253755,1.1760097470477526,2286.8582267008824,29.999999999999993,8.234597822416319,2.177339584886604,2.0999999999999996,219.0145063525629,0.7003565158237174,0.04858898399048332,3.000000000000001,7.042254965400623,2.1185494634686797,8.045078265878068,6.541272412619037e-09,1.2178790604587129e-05,600.0,695.2861666507591,320.1660835671001,561.1323140186527,110.27715227677292,324.73380159288035,64.47389382739976,284.2555598744429,188.12183189727253,96.62392093972053,188.12183189727253,118.19864833062904,0.2729121403446563,0.009153409031417752,1.2549421167407315,1338.668730817027
18,190.0,168.02486410879237,1.219673912925446,2364.6472356879494,29.999999999999993,8.408066204732046,2.2034150928602383,2.099999999999999,222.2551112550163,0.703215671089968,0.04840565331627423,3.0000000000000027,7.012853175632559,2.0876922116915724,8.006392289837736,2.8161810661231357e-09,6.54649167409416e-05,600.0,740.7283089741233,332.18169638535437,577.4778114477822,114.26750991997645,337.18761486470993,67.1231080033959,295.3449131751041,189.94419055019344,99.12898911246515,189.94419055019344,125.92381252560095,0.2729121403446563,0.009153409031417752,1.2502071055208916,1373.3750064349474
19,200.0,170.57077051841932,1.261422725677782,2447.412638066186,29.999999999999993,8.585273454728835,2.2297763502036827,2.1,225.62271232595148,0.7062643111285353,0.04824027946798161,3.0,6.9805912204592255,2.0565591481231964,7.9640033050442005,4.499249328659971e-08,3.86561281183388e-05,600.0,789.0581709567612,345.0471369914403,594.7840113754357,118.52953614780486,350.6024863471637,69.9798761988858,307.3093448512328,191.97155506825595,101.80673823530834,191.97155506825595,134.1398890626494,0.2729121403446563,0.009153409031417752,1.2459358779671228,1410.4736770835884
20,210.0,173.1596668066538,1.3016424352125906,2535.6556891137384,29.999999999999993,8.768663710566033,2.256772630560729,2.1,229.04717831567956,0.7100126456195845,0.04812609224829707,3.0000000000000013,6.946232038079141,2.0258296031788374,7.918927946784427,1.0282908515790723e-06,6.78914225314388e-05,600.0,840.4981617264543,358.824527427502,613.2493531752569,123.09188640967014,365.0404528978174,73.04096557413693,320.2018892144827,194.16321891367838,104.67225195227329,194.16321891367838,142.88468749349724,0.2729121403446563,0.009153409031417752,1.242986683738165,1450.1737179567106
21,220.0,176.03471546804607,1.3386423787903423,2630.010154629612,29.999999999999996,8.950440943138938,2.283253946199246,2.1,232.85015273551082,0.7125741532133684,0.04793676465539092,2.9999999999999987,6.906444705182115,1.9927710435009842,7.866820306387446,2.552582678561066e-08,8.710606315049186e-05,600.0,895.7233899910593,373.7350910190049,632.5703839396065,127.9906227428441,380.80521410042354,76.43694084692099,334.3167953759134,196.74390442075705,107.75138230616218,196.74390442075705,152.2729762984801,0.2729121403446563,0.009153409031417752,1.2380967858500858,1492.8332942062827
