Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
325,130.0,320.0,0.4951388888888889,8537.224904574,4.246334652683959,464.7221995561494,0.1400000106884998,0.4290049024592707,5.2208127514961715,8.580032392880206,5.742018462639865,3.63833549146965e-05,600.0,5146.767156742184,1957.8823939848292,367.24273223343096,465.3386534752027,1635.229093808702,997.646682588157,1486.798581391021,369.2925759573854,370.2354513466289,369.2925759573854,874.9504166461712,0.0270010386874874,6094.229528169226
326,140.0,80.0,1.8388888888888888,100.0,1.0506241539717387,1500.0,0.0419042089487075,0.1346159830645475,10.574766958873088,14.39878103852092,13.126716599995426,473374.5789260356,600.0,89.47868624336989,6.6025284608884105,86.21704252880771,5.723965464744538,9.456473167580482,6.947009193044142,7.618051265008254,70.66226072101199,70.6756133213216,70.66226072101199,15.21137666137288,0.0270808101462506,23.385482361415036
327,140.0,90.0,1.6444444444444444,100.0,1.2679769458738916,1194.0430243436194,0.0311828356050095,0.1575742175875776,12.21528781211258,12.241554034023933,15.84236756873766,480574.8848994664,600.0,94.4951762064209,6.885424108349152,86.13052053642362,5.723965464744538,8.186462860157976,8.174446283257891,6.3121878447848765,48.51316123910329,48.54147071797976,48.51316123910329,16.064179955091554,0.0226954756240543,36.129085254153864
328,140.0,100.0,1.488888888888889,100.0,1.315281393584116,981.319612297892,0.0398925707112227,0.2052854303917712,12.551507591376582,15.138503454151335,16.433399172821765,448657.7451685691,600.0,70.97749448857591,7.002147661132842,86.11558080027787,5.723965464744538,7.967170419329088,6.61300200530955,6.085168317786873,45.08633535405021,45.13204294911598,45.08633535405021,12.066174063057902,0.0218378379701117,46.18031979111448
329,140.0,110.0,1.3616161616161615,100.0,1.3077065160545998,1040.9572851594603,0.0362979295080387,0.2140107730921001,12.498151389449967,12.977540068538346,16.338757078183313,456048.26735978224,600.0,76.48172634059468,6.98986879500657,86.11789799483286,5.723965464744538,8.001183285746782,7.717743762165313,6.120416597265359,45.61017246899122,45.67756091051047,45.61017246899122,13.001893477901094,0.0217432640464298,54.997206333899435
330,140.0,120.0,1.2555555555555555,100.0,1.2812825610934837,1065.6793058224332,0.0375992427319138,0.2326338691311606,12.310586846607626,12.354466943541007,16.008610691471794,454259.4041414114,600.0,75.20300150379356,6.934518344810641,86.12620310641124,5.723965464744538,8.1230896013342,8.111136762332634,6.246638257826622,47.51081272131464,47.60544755277379,47.51081272131464,12.784510255644902,0.0219262814948283,63.36176284130258
331,140.0,130.0,1.1658119658119657,100.0,1.2918842070751002,980.051083232919,0.043049449476762,0.2715730280658139,12.386109741183736,12.628610256124738,16.141069860403015,446629.949914742,600.0,69.48666843694004,6.9703229464166165,86.12282880236327,5.723965464744538,8.073559986918301,7.941412157479864,6.195376196550529,46.73423216431811,46.864810517514485,46.73423216431811,11.812733634279809,0.0216263644552692,74.56368175934448
332,140.0,140.0,1.088888888888889,5437.865753868193,3.789040946933417,516.1624508844982,0.113739694751716,0.1898513596841484,5.772132583920255,13.792133400586511,6.419833811033082,220254.89146218405,600.0,3554.352266883778,1195.784324232798,275.23252056033016,281.80985472869645,942.0895439957064,394.3342789920257,847.0415144583203,295.42835391144,295.4460108022032,295.42835391144,604.2398853702423,0.027318612831673,939.6870795153784
333,140.0,150.0,1.022222222222222,6426.03108738086,3.9983758498687583,512.6372890170657,0.1098936541704649,0.1940831254337599,5.62057351043546,13.31301397516961,6.231906554529541,173241.8980880459,600.0,4158.303500025956,1441.3059647780287,303.66203173861607,338.9829660684907,1143.3052295197178,482.7752398719363,1031.150103287448,313.5146798870052,313.5413991017936,313.5146798870052,706.9115950044126,0.0272445713177458,1197.952703549728
334,140.0,160.0,0.9638888888888888,9999.999999994054,4.623499927707071,423.6995463518348,0.1400172169224565,0.2166133594596191,5.249334951721571,13.340876152914245,5.776696930266909,38398.45164841582,600.0,6268.0324188340355,2366.3999455119465,405.69540432908457,555.8274600025204,1905.0032226871815,749.705020785502,1731.0930659351743,364.8720356302527,364.89995394162065,364.8720356302527,1065.5655112017862,0.0271886887381113,1818.7787952383164
335,140.0,170.0,0.9124183006535947,7976.918875809483,4.286675227727027,518.3751510907746,0.1009904750996606,0.2028818608943463,5.429479552021339,12.430471467958162,5.99669169983633,108177.29466522076,600.0,5090.86551210834,1835.571386775321,348.09674367297646,431.2884023850706,1469.186650282118,641.8852573996398,1330.2199404426945,338.59169609510985,338.6449368382496,338.59169609510985,865.4471370584179,0.027087485575057,1758.3998658379055
336,140.0,180.0,0.8666666666666667,9445.952937714152,4.527137728071943,501.09251359773384,0.1028829031709339,0.2104155163800446,5.284754831660565,12.161480152124406,5.819819916950528,58598.71122172997,600.0,5958.851177745723,2217.743495427932,390.138029214669,521.2919421024162,1787.3966226633952,776.9290220270228,1623.0661897634195,359.4849003410936,359.55150659329917,359.4849003410936,1013.0047002167728,0.027037245871688,2194.647722304049
337,140.0,190.0,0.8257309941520468,9999.999999999882,4.610863066022538,492.9178424645403,0.1046098816552203,0.2216772470101189,5.236353326245582,12.082029135773954,5.7609081725616145,6309.820145045273,600.0,6153.7996727151785,2363.7900918463974,406.01715177869687,555.8274600028853,1909.7259823698323,827.951163179695,1735.837423625056,366.8747651743442,366.961833459325,366.8747651743442,1046.1459443615804,0.0269617001388395,2529.466134338164
