,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
10,110.0,228.37439353590045,0.5705540979207763,3042.5890325308546,3.5611206510436455,394.4737102092736,0.14000000661754805,0.43008072750948867,7.058358304682499,12.000000049558842,8.06628881939502,9.197115620270595e-05,600.0,1426.58667484829,664.8173325853223,201.5463065351036,149.64830872148065,431.06185619854523,254.22812916527485,377.1981267537916,187.13378841466,187.61701444281974,187.13378841466,242.5197347242093,0.6302766233350965,1.0761246756453582,2183.8231981293347
11,120.0,233.11975251392616,0.60364578402943,3339.744744517443,3.7128458300881584,380.174885837513,0.13999999999133006,0.4369728239151845,7.02860091999042,11.999999999526656,8.027106161567746,8.086123415973427e-05,600.0,1621.1015060839045,743.4341439609282,209.74470790601745,165.47337885407492,475.16494143502956,279.019923291991,416.0583748733141,188.96515699162777,189.4276517816179,188.96515699162777,275.58725603426376,0.6302766233350965,1.1047008520265944,2335.946579477598
12,130.0,237.81451854632917,0.6355333948452164,3690.158602569985,3.8574330306186004,370.1975056386739,0.13999999729979717,0.4406947732968185,6.9576212048910175,12.000000105917191,7.933861353301665,6.506184297146227e-05,600.0,1851.5938986614583,834.7542056658076,219.45626080010376,184.36230353478993,530.3764740707505,308.24869432011934,465.115085611413,193.4329844516419,193.8770722100889,193.4329844516419,314.7709627724479,0.6302766233350965,1.1373311900142702,2502.7861891143825
13,140.0,242.81359911571386,0.6654628555442013,4109.345004131918,4.016798740140342,360.2470997568263,0.14000000328888423,0.4441101449005637,6.877468719564609,12.000000028755425,7.82893158687763,6.0560984566076436e-05,600.0,2125.6963664435266,945.4521168743502,230.9417592824219,207.26254362546172,597.5083525195689,343.211621986291,524.8921846525965,198.65282712316613,199.07825968268398,198.65282712316613,361.36838229539956,0.6302766233350965,1.1750381309022084,2695.6161133694764
14,150.0,248.11528212879077,0.6934465715637453,4620.256195179678,4.190668998259424,350.91836669217804,0.13999999952679532,0.4466130544662716,6.7808723115872755,12.00000001368012,7.7029851087731736,4.103115507526354e-05,600.0,2458.1935829501413,1081.6326579605914,244.83112087456664,235.59242783780053,681.3660518698312,385.8214202611197,599.8007434698948,205.2020189883684,205.60875837110126,205.2020189883684,417.8929091015239,0.6302766233350965,1.2193038669055059,2920.6468753872286
15,160.0,254.00736816099553,0.7187918761856528,5257.644330197026,4.39805369596533,339.8442710765776,0.14000000218279735,0.44992688880662207,6.684847861786851,12.000000014733928,7.578332457847583,8.828374270392174e-05,600.0,2868.2306171531845,1256.0019300923202,261.8873650347338,271.5338138596725,786.5017183490044,438.97796796601233,693.7732488566905,212.0080926027516,212.39469381291173,212.0080926027516,487.59920491604134,0.6302766233350965,1.2723019283303636,3194.058644701647
16,170.0,261.14618567607613,0.7398652742413702,6082.009083651492,4.68339043330579,322.31181421494887,0.14000000001710436,0.45808617846242905,6.626755099599756,12.000000000357636,7.50318337051567,9.643679510093509e-05,600.0,3384.6566477371857,1495.20598083446,283.23194256836734,318.92433273525944,917.7959638222987,507.73208558531013,810.5904898381145,216.2761477565551,216.63861634250267,216.2761477565551,575.3916301153216,0.6302766233350965,1.3377705559506667,3549.8424438060956
17,180.0,267.6826470440422,0.7613269493597431,7189.867793092326,4.923457120729084,317.0674369853843,0.14000020813020334,0.4541315608241135,6.433565393860965,12.000001838366867,7.254682922306164,5.7103183067177064e-05,600.0,4093.39218757446,1799.4388401372585,312.97047687537315,384.0738451700454,1117.5557180087173,600.1021801171007,991.065752989073,231.3464687183891,231.68981581410762,231.3464687183891,695.8766718876582,0.6302766233350965,1.4212683600794431,3962.5667909962144
18,190.0,270.85235171242016,0.7903780906578811,9153.702641017213,4.999999999999981,346.8281970936602,0.13999999998291737,0.4137929888541922,5.860124524930441,11.999999997882277,6.529506105146633,7.74830632425189e-05,600.0,5413.491600401798,2266.2408601682673,370.7773339216712,503.20164897191177,1562.0321039382463,763.7469971461663,1401.8981671220367,285.58742557303896,285.9114184116354,285.58742557303896,920.2935720683056,0.6302766233350965,1.5594338526454585,4451.355197120896
19,200.0,94.60880953452426,2.2028569324992127,105.64298369344532,1.0000000000000027,679.344262318971,0.26963058593171413,0.36017064602260646,9.94835735922195,12.302524749775994,12.155935828833305,528426.9360447637,600.0,131.71290066450226,7.849651635800729,87.02968945193825,5.980543259573374,10.619138404343323,8.807418713149975,8.690649998568203,82.39919114171842,84.50523971920863,82.39919114171842,22.391193112965386,0.6302766233350965,0.6777283240419751,236.0363351522695
20,210.0,92.88891713837796,2.3496537515813882,104.79957863439698,1.0,925.8663078879088,0.14380199216416512,0.25982962212469285,9.980379258688313,12.071494702307747,12.204752022792773,542133.7326607968,600.0,140.5500656713152,7.690607849152787,86.91396894440159,5.942248850211229,10.50056074203441,8.891895037142223,8.5867847571733,81.74135384632328,83.71362005647775,81.74135384632328,23.89351116412358,0.6302766233350965,0.6774754317411178,227.44763299135082
21,220.0,97.07786542645407,2.3551109471671623,100.0,1.3174013441719383,520.7528627265066,0.14502285081210334,0.3638926135366471,12.566407435423821,12.0132702941428,16.459886276194688,539293.7054132838,600.0,134.84281368964017,7.684476607155405,86.11493723299301,5.723965464744538,7.957723837451508,8.58627596185428,6.075376118766156,44.94134704100851,46.35223010181603,44.94134704100851,22.923278327238823,0.6302766233350965,0.6760231378408782,247.89174709655657
