,mission_range,cruise_speed,endurance,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
10,110,144.61847167043442,0.7888888888888889,1971.7478785361266,29.999999963890247,7.4660310290955225,2.0583603234620576,2.0999999992509366,191.29427430992456,0.7915404854290056,0.065630862,3.000000007130135,7.152549456,2.4164719763605604,8.190670151121665,3.0552518737181344e-08,2.377718375226752e-08,600,507.54085474017535,275.19408576009823,494.7412525465891,94.27183969,275.67063893242613,58.24641679,240.73095878071797,181.4934151104412,99.56647360366978,181.4934151104412,86.28194530582981,0.024152717823005782,1379.4361009114668
11,120,146.88494440921622,0.8222222222222222,2045.370425323767,29.999999861597786,7.664177439135696,2.0895988240680583,2.1,194.29225604213175,0.7959516602112885,0.065520657,2.9999999763358582,7.132354091288025,2.3792668263756234,8.163955993498924,-3.19E-07,6.628179702665972e-08,600,550.3418062988068,286.4267313373523,510.6142801334299,97.98786500669218,286.7735391631959,60.92352219636272,250.53667939324083,182.68312663250543,102.53928899047979,182.68312663250543,93.55810707079715,0.024322506,1420.622745555941
12,130,149.2449119890146,0.8555555555555555,2124.7490672815716,30,7.867997954636219,2.121321781124835,2.1,197.4137383366291,0.8008992079441225,0.065478101,3.000002528862674,7.107874566596986,2.3416752918724804,8.131608356,4.985665705170561e-05,8.252644953316902e-06,600,596.4632444745124,298.6370208461256,527.6409934847954,102.0106812178517,298.9288918049705,63.865022955795226,261.2950568150718,184.13944895770268,105.7917728457929,184.13944895770268,101.3987515606671,0.024503302460124818,1465.6840346471915
13,140,151.60169133275426,0.8888888888888888,2210.775980206352,29.999999959190067,8.078872286217054,2.153696264811178,2.0999999569657675,200.5313383434467,0.8076178893323063,0.06561187,3.0000000524757673,7.078991962131429,2.3051758212297524,8.093489582382414,3.853609307213901e-07,1.9084611954742572e-07,600,646.4096872015484,311.9652694110211,546.0123886708586,106.38907178230565,312.3009592372393,67.07825481267241,273.15485585089044,185.8780560927694,109.38253327893226,185.8780560927694,109.88964682426322,0.024696718,1515.4318886324413
14,150,154.14803926055177,0.9222222222222223,2304.4725894744897,29.999999998576932,8.29497872,2.1864467556838196,2.1,203.89954507399233,0.8142632274382234,0.065759177,2.999999672742164,7.044317557625475,2.266992696341287,8.047794133243322,-4.88E-07,1.8234724098569898e-08,600,700.8642034191176,326.6340047026534,565.7951196475985,111.17939674113047,327.1392254285723,70.67693208825828,286.3483522715025,187.99488338762893,113.34176189290609,187.99488338762893,119.14691458124997,0.024904544270275587,1570.284781098857
15,160,156.82906087111292,0.9555555555555556,2407.160549115523,30,8.520972828031503,2.220242764578837,2.0999999913534495,207.44584785806586,0.8217150832482271,0.065988074,3.0000000102559543,7.0049323605169835,2.2280781366816136,7.9959792927367195,8.78684698335519e-08,5.737507759770907e-07,600,760.4771275222687,342.8371959125928,587.3923296637382,116.45465348030567,343.6379432702856,74.69360940643541,301.0463710557764,190.43923339971667,117.72698337903428,190.43923339971667,129.28111167878566,0.025129105641430574,1631.039484
16,170,159.64752519420728,0.9888888888888889,2520.521438379676,30,8.757088612,2.255076953681539,2.1,211.17398220745412,0.8303005006188109,0.066330312,2.9999998993790635,6.959784487538509,2.1885065575526763,7.936698720140644,1.2139594396387565e-07,3.9886370274269867e-08,600,826.2696058460359,360.8834069908036,611.0605332,122.30809205097799,362.1550987523635,79.21071494708514,317.57806705997916,193.29470473361573,122.6292111015713,193.29470473361573,140.46583299382607,0.025373330639502385,1698.9570366208384
17,180,162.70972514381424,1.0222222222222221,2646.7310268319434,29.99974653080515,9.005434134,2.291201781874277,2.1,215.21974166368443,0.8393744400816548,0.066729496,3.0000663855661642,6.908285161756766,2.147050059094717,7.869228569650555,2.7847726862262334e-06,5.864314973484248e-07,600,899.4859616590883,381.1704905720822,637.2144286296674,128.8609117592598,383.1241711740347,84.36820557,336.3393251836216,196.6235016108618,128.13953136737504,196.6235016108618,152.9126135,0.02564104,1775.2993477677926
18,190,166.00951881614603,1.0555555555555556,2788.691375483032,29.99999995,9.269191610704901,2.3290487210787223,2.1,219.58931063310794,0.8495789789511854,0.06723304,2.999999999593694,6.849918123268217,2.1040283025485453,7.792953282,5.914935918838182e-08,6.83734278976898e-09,600,981.7754266985569,404.2070370779211,666.4335192628497,136.27547513193082,407.11309614201605,90.30098517,357.84782412509134,200.49133178222056,134.40214961348318,200.49133178222056,166.90182253875466,0.025936976,1862.0643138090618
19,200,169.6272390041353,1.0888888888888888,2950.444702357185,29.999998976169056,9.550028181919018,2.368749433298083,2.099999312,224.37483115745766,0.8609255430287674,0.067854296,2.999998624484882,6.782781924730004,2.0587385528768793,7.705469567952816,8.748449957352022e-06,9.799206706355616e-09,600,1075.545998822131,430.75081042121946,699.3691733526972,144.77881875208004,434.99035279313233,97.24399449830732,382.9026480914462,205.06971456596364,141.6205970495524,205.06971456596364,182.84281979976225,0.026268199871562273,1962.070456651621
20,210,173.6449640920435,1.1222222222222222,3137.814494557692,29.99999999388109,9.855797742062228,2.4113134623151207,2.1,229.68903179203323,0.8737197738518201,0.06861075,3.0000009684810283,6.706297900129062,2.0106027843563585,7.606130357570352,-1.47E-06,3.4155515928769248e-09,600,1184.0118619961627,461.83404745580975,737.2690374987263,154.6996060497138,467.89071128160066,105.50798472041782,412.5375647,210.46128489849852,150.06304557210362,210.46128489849852,201.2820165393476,0.026644403279333373,2079.0370004118226
21,220,178.20002552389462,1.1555555555555554,3359.7102655389845,30,10.196031062907629,2.457908273676195,2.1,235.7143186324758,0.8882916666614112,0.069528587,3.0000000107364113,6.618640828558825,1.9586062108347255,7.492702414537438,1.1610303758402551e-06,2.53374292150602e-07,600,1312.1645687453326,499.0714774761267,781.9315996,166.54312304621158,507.6133231224974,115.59182916017876,448.3976647758533,216.88163455411987,160.15349198264485,216.88163455411987,223.06797668670657,0.027080378001998494,2218.8343193200812
