,mission_range,cruise_speed,duration,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
21,20.0,180.0,0.2,1651.804842418301,25.0,6.000000017831931,1.6279241785710936,1.076563860663064,1071.7769973382005,0.5136464088938865,0.03261814376998068,1.3000110096792183,6.294774556833497,1.7455264338006444,7.077478063309694,-2.8808319108009073e-07,5.9514960128594064e-06,600.0,184.51351991145452,265.39393414710395,504.0257706415228,97.87405728703673,262.4088960620727,86.88856256000527,233.38890317179664,243.07633644609365,408.2349540562073,243.07633644609365,31.367298384947265
22,20.0,216.0,0.18148148148148147,1712.6971646672387,24.99999999891975,6.000000000068531,1.6279242010585928,1.5422251956240924,897.796365750056,0.36984828386269675,0.01313301005718064,1.300010523917905,6.194813157674413,1.3702830098753678,6.950525100292091,-1.3568361012517016e-07,0.00027417660892008384,600.0,206.46555298700093,293.0944134234681,511.50826658620934,101.64548994972566,276.47277182936057,131.69297687244375,246.41262925520027,252.0371232946444,236.68898005167873,252.0371232946444,35.09914400779015
23,20.0,252.0,0.16825396825396827,1771.0071591895394,24.999999999970935,6.000000054977674,1.6279242255472592,1.0769229186832134,1499.999999810655,0.2809763500603824,0.02426237830401307,1.300000191182248,6.103579775574762,1.2391481539260834,6.835145337936181,-4.223556260285477e-08,0.0009753874257114679,600.0,224.931098731395,322.22848520665474,518.6090165715967,105.26978987304511,290.15876326819495,178.56357854261927,259.10307266769564,260.61789878306394,595.1790205800818,260.61789878306394,38.23828678433714
24,20.0,288.0,0.15833333333333333,1872.7879378164869,22.95992629201537,6.000000006785765,1.547120369499656,1.230769230773746,1500.0,0.2476986721987478,0.01681827229921017,1.299999999995231,5.689235795325725,1.0575720339392174,6.316893111711462,6.473579881927094e-06,0.0007086097457290074,600.0,262.499198300736,370.92358794910456,527.7663588107256,111.62541248067004,329.1809313572781,247.4128261160792,296.47295034078627,305.1354665704861,538.864589614132,305.1354665704861,44.62486371112511
25,20.0,324.0,0.15061728395061727,2005.6576054631296,21.26542468249323,6.000000054965103,1.4772286728393784,1.3846155233516022,1499.9995337822575,0.2262993226882544,0.012360061928574617,1.300000273797582,5.2917266506643195,0.9056947795510055,5.828315555222773,1.3540915944076914e-07,3.37262468216675e-08,600.0,310.2667783866951,434.45822420824095,540.9558146075258,119.9769719077392,379.01761331744916,340.09446547909806,344.1230294515974,358.4376585507035,501.21467103961254,358.4376585507035,52.74535232573816
26,20.0,360.0,0.14444444444444443,2171.909231145607,21.097233418618707,6.000000048782044,1.4719417426642862,1.5384553308018099,1499.9999999999616,0.20007908922646883,0.009823484409483902,1.3000052454936692,5.087732784233732,0.7842432612700679,5.580762130063307,0.010798918915117639,2.0533272954507256,600.0,366.3674534362855,516.3328691958584,560.1311646655489,130.51068742511853,426.89137249426517,475.7716888794857,389.17789013898886,390.94235276628734,491.79074050972076,390.94235276628734,62.28246708416852
27,20.0,396.0,0.1393939393939394,2401.3243297814674,19.606592884029848,6.074321680529189,1.416659337587825,1.692307961381454,1500.0,0.19672015510617422,0.007804552890646429,1.2999997933024614,4.693402557271303,0.6788895360844633,5.108151200863429,-1.5913332163108862e-06,0.0008724697969998995,600.0,443.87890944467046,624.975713256141,587.2474940367507,145.192675444189,511.63826253539463,639.3089296161976,470.09656436472994,466.6295722361835,472.77208831575985,466.6295722361835,75.45941460559398
28,20.0,432.0,0.13518518518518519,2679.2030242902633,19.176103377660194,6.510970180266275,1.4604000377169173,1.8461538447926285,1499.9999999997035,0.18856813635515635,0.00652999945974512,1.300000000958781,4.589856637552604,0.5945859809964185,4.985316656871678,0.014768839838028569,2.3673076543746965,600.0,525.64794979464,756.2035988864857,635.699005523645,163.19107583563613,583.7225943769049,864.9964066591804,537.4188258628054,489.9076804421751,470.7539023798246,489.9076804421751,89.36015146508879
29,20.0,468.0,0.1316239316239316,3052.8612186850546,18.208320703965487,6.999500060652951,1.476221940041946,2.0,1500.0,0.19281286233928305,0.0055333483116236145,1.3,4.365442093898652,0.5227511236914688,4.720867926551361,-8.07748092768179e-06,0.0004457021942428156,600.0,637.1176804996904,930.1220313095139,697.902266630133,187.7403519058663,699.3246395254853,1148.305073076573,646.6737189394746,546.3312527995365,468.1585998560414,546.3312527995365,108.31000568494737
30,20.0,504.0,0.1285714285714286,969.7484238187443,8.432097077633264,7.533488553940937,1.0000000026721092,2.0,1500.0,0.11403888218694859,0.0028563686979106396,1.4,5.164822011520297,0.387469292877759,5.67406342235335,0.29589943002154495,658319.4818523369,600.0,279.34576049361965,426.38702073170384,418.7339328159037,56.65060359360177,187.76027937762234,799.726016419139,170.9089856130892,378.1911609882968,241.6680633455539,378.1911609882968,47.48877928391534
