Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
283,120.0,150.0,0.8888888888888888,1595.7854933833949,29.999999999999996,5.848964254522322,1.7861023605387647,2.0999999999999996,198.41269841269855,0.5954719107189307,0.0548037111149145,2.9999999999999982,6.932006138020849,2.336386431078395,7.900286006944701,2.7310068873021013e-08,3.735503590179162e-05,600.0,294.9601502697103,226.56064953694397,398.7374262314627,75.53337922190474,230.20543571518044,54.11817565341745,201.9908509616777,195.08061595971012,89.4437444628533,195.08061595971012,80.22916087336121,0.0250970175995747,1239.1915243670155
284,120.0,160.0,0.8388888888888889,1614.0386521270807,30.0,5.757297975435125,1.7696023244147128,2.0999999999999983,211.6402116402118,0.5293504063413556,0.0495174227040275,3.0000000000000004,6.842227156744699,2.192169861262329,7.782917745462842,2.075154270642088e-09,2.7005668524215888e-05,600.0,307.42928443215686,232.47003197124903,397.71097766512463,76.43355475639817,235.89375435103003,59.29514450494008,207.38220612289092,201.00870466208323,91.950793911169,201.00870466208323,83.62076536554667,0.0249578895539648,1273.9252494159705
285,120.0,170.0,0.7947712418300653,1639.5909185516002,30.0,5.694665015561794,1.7582526715462157,2.0999999999999983,224.867724845462,0.476328916188966,0.0456315955233799,3.000000000297015,6.757432148687537,2.06371356479276,7.672506407171993,1.673765126497528e-09,2.3240322032483566e-05,600.0,323.7311490533915,239.8803352378586,398.2888614900747,77.69539359199298,242.6352026146574,65.52535988988109,213.69691096236392,206.8355695449408,95.65793087398696,206.8355695449408,88.05487254252247,0.0248502741297112,1325.285495250709
286,120.0,180.0,0.7555555555555555,1671.6468981488215,29.99999999999998,5.6569332072322815,1.751385271884955,2.0358314686807195,245.5940156645297,0.4331804238829219,0.0454494365813268,3.000071848063583,6.677569726933142,1.949069315893248,7.568906593404757,5.11683216686265e-07,5.6155063888439705e-05,600.0,343.4566207055591,248.6754549359661,400.2411316026877,79.28118457286182,250.33761780224364,72.80577367180447,220.85711820059024,212.53646584552288,106.80957766143814,212.53646584552288,93.42020083191206,0.0247702070855791,1390.7328619034658
287,120.0,190.0,0.7204678362573099,1709.172647417702,28.62369566632099,5.767374453364989,1.7230892271671567,1.9643011917507196,268.6845908520543,0.416623311386724,0.0455310287399613,3.0000017948589455,6.519084014860813,1.8464825577987056,7.364419615440357,5.388126837146956e-06,5.822165090929758e-05,600.0,362.8421677315432,259.3394331227844,405.8572206910469,81.14145618365217,262.17987734496074,79.8623054583783,232.0851793716676,224.50328178539516,119.22618041318304,224.50328178539516,98.69306962297972,0.0250134393531603,1445.232315547446
288,120.0,200.0,0.6888888888888889,1749.6228402380934,26.51013879193369,5.965829226349115,1.6799422277559204,1.900912293134862,292.25163618459226,0.4155879883887314,0.0452194544845906,3.0000584704144035,6.30973524319597,1.7541631603119228,7.096526894121198,1.5092988887133174e-05,4.35993893696896e-05,600.0,381.6055611539323,271.3181206385915,413.5544081882068,83.15135324073171,277.2894222661369,86.6321915989361,246.54635518784417,241.7731340162265,131.1975929116353,241.7731340162265,103.79671263386956,0.0255066123943888,1489.3607289686045
289,120.0,210.0,0.6603174603174602,1792.905978512709,24.774771053390268,6.158462431359454,1.6444954531859668,1.836563663952454,317.6216814100977,0.4133327487167347,0.0454270053592868,3.000004599634816,6.12518397489915,1.6706284777637512,6.862425540400279,3.9494616785873404e-06,2.7621995821095206e-05,600.0,402.0621673905872,283.9328522651716,421.60892068229543,85.30729383786894,292.71055136629246,94.04597393197518,261.26417954665783,258.54994849683686,145.31446643753338,258.54994849683686,109.36090953023972,0.0260041315539901,1539.822635768233
290,120.0,220.0,0.6343434343434343,1839.2475277927583,23.215341357970473,6.359793192309095,1.612640456788632,1.788553267228773,341.6777153429182,0.4122971051106913,0.0451815965978288,3.0000113743835524,5.951768620589452,1.5946920108286378,6.644176889847708,3.074615136711145e-06,2.2833151211520603e-05,600.0,423.94669802467104,297.3687967975851,430.3152643716564,87.62154700351802,309.0253746474779,101.99698371296722,276.8209754624573,275.81467753323346,158.62116227586952,275.81467753323346,115.31350186271052,0.0265474528335756,1594.0970512060546
291,120.0,230.0,0.6106280193236715,1888.9075492772008,21.882221006077984,6.556623115367467,1.5852681241117903,1.7402053095913936,367.1342023979696,0.4110116862927415,0.0453175448688116,3.000000002551339,5.792331823631578,1.5253570046079648,6.44497299305736,3.394117786825746e-07,4.3253493929706984e-05,600.0,447.71568661688593,311.6816879320229,439.4084670595318,90.10828440761212,326.1048584217548,110.66448572287268,293.0823063668328,293.12816035687865,173.8919711320425,293.12816035687865,121.77866675979296,0.0271074799707058,1654.3613750809277
292,120.0,240.0,0.5888888888888889,1942.1794809077437,20.71748169881547,6.754885493621225,1.56179685227319,1.7008213062614277,391.9656532902244,0.4099401486508948,0.0453042878211776,3.0000140950921037,5.644799340904648,1.4618009893264552,6.261863384234712,1.0015126861162572e-07,7.495460223421954e-05,600.0,473.3837369729249,326.94567403880967,449.07517079929016,92.78355672931885,344.06528268133013,120.07250781373128,310.15998940467233,310.5221392309026,189.28456262830784,310.5221392309026,128.76037645663556,0.0276915634288786,1720.213865391657
