Unnamed: 0,mission_range,cruise_speed,endurance,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
11,10.0,180.0,0.4777777777777778,1221.420223209284,2.184049537613491,913.9250470631288,0.0738820092001379,0.2389624822158048,6.861428692451868,12.000000001507749,7.807979411251919,3.848712705219059e-07,600.0,199.43931227532187,217.77534051336224,146.90136845339984,57.304822347140416,178.01252158358008,101.8878648736394,156.432305834352,199.7203999748777,199.9030799053321,199.7203999748777,54.24749293888754,0.0284913380558749,538.2608202709029
12,10.0,190.0,0.4748538011695906,1219.5182861001929,2.1822531378827628,881.686601279848,0.0795401530012142,0.2616146792172859,6.8611676006443885,12.000000000050392,7.807638489048921,4.301147461505173e-07,600.0,198.0714382629055,217.3996281317988,146.83447222239622,57.21340331443207,177.74209246625284,101.75320012745011,156.1955369489382,199.73784202355895,199.96768388750093,199.73784202355895,53.875431207510296,0.0284057294490052,596.9436615989775
13,10.0,200.0,0.4722222222222222,1217.8409251283292,2.180473754272886,841.877217168865,0.0874290466823965,0.2885620389021188,6.86040506092754,12.00000000210924,7.806642821524754,1.494990428827931e-06,600.0,196.8616477930238,217.0713288878256,146.77638189557462,57.13278924991734,177.51734982302557,101.64110473891664,156.0005950023043,199.7887948260378,200.07353374039923,199.7887948260378,53.546368199702464,0.0283278566108122,658.5448800548761
14,10.0,210.0,0.4698412698412699,1216.3615349750094,2.178652660544478,792.7902168392258,0.0988319972895448,0.3219174649071799,6.859043303792084,12.000000025526273,7.8048648269484415,1.3859496017499818e-06,600.0,195.79039256813783,216.78428664689685,146.726335231501,57.061697792081304,177.33690853103857,101.54973371882934,155.84658568015,199.87983134300137,200.2279907537919,199.87983134300137,53.254986778533485,0.0282577165641846,723.0387804982286
15,10.0,220.0,0.4676767676767676,1215.0568988632704,2.176854810848655,731.4228901297486,0.1164132410405293,0.3657117570352457,6.857316004035549,12.000000000008194,7.80260971657776,4.283928470457815e-07,600.0,194.8389792719927,216.5364591236045,146.68310460334894,56.999010381586885,177.19132356569338,101.4775556681856,155.72442336590387,199.99538658284263,200.41631046938528,199.99538658284263,52.996202361982014,0.0281935930048584,790.4322646311686
16,10.0,230.0,0.4657004830917874,1216.9990275593102,2.178511026439396,666.6243388821448,0.1400000000005234,0.4190083624637687,6.857088810435091,11.858102517382676,7.802313112735552,7.417507356019281e-07,600.0,196.15733349770537,216.99784014365775,146.7523838765147,57.09233129095233,177.48042371965283,102.8982831887202,155.97926024948015,200.01059246518463,200.51393117905633,200.01059246518463,53.354794711375845,0.0281111831956126,862.7088753996991
17,10.0,240.0,0.4638888888888889,1234.4017665107365,2.1499731630790326,689.4352992724318,0.1400000000004629,0.4282219930150065,6.736744647644598,11.08933826273079,7.6456339183811135,1.35113098979262e-06,600.0,209.3524410435654,219.5343668693276,147.58698922113538,57.92913175831063,183.23416294876583,111.64402965687914,161.45185339610254,208.29207515337953,208.88911207661428,208.29207515337953,56.94386396384978,0.0286324203757927,931.8726521074212
18,10.0,250.0,0.4622222222222222,1253.5515885585933,2.1228734410871746,712.7469272088913,0.1400000000000821,0.4368200601697511,6.617615462239433,10.379469149114628,7.491378253565959,3.8017013591657473e-07,600.0,223.7104052400843,222.49817331609708,148.49247762303446,58.85114895876073,189.42647781688805,121.17525084678906,167.33257167489737,216.9583124543441,217.66149585538,216.9583124543441,60.84923022530292,0.0291752319884757,1004.5058873926724
19,10.0,260.0,0.4606837606837607,1274.5528624713606,2.097253510392783,736.5055297350115,0.1399999999803884,0.4448314129869503,6.499880309548992,9.725237951528236,7.339740942974334,1.5874074751225715e-06,600.0,239.307608738964,225.9100393781265,149.47271848309168,59.86375579477743,196.0886665249684,131.5459419950974,173.65093296533502,226.0155306280239,226.83840166431727,226.0155306280239,65.0916695769982,0.0297385045438913,1080.8803586151553
20,10.0,270.0,0.4592592592592593,1297.5349387046651,2.073162807910124,760.6475407099759,0.1399999999976741,0.4522851376015867,6.383699720304802,9.1230095722223,7.190889359906175,4.576986024855077e-07,600.0,256.23349076293954,229.79607952547673,150.5324537361433,60.973591214363736,203.2575145377784,142.81847271694886,180.44151060635912,235.4694301113298,236.42665831294553,235.4694301113298,69.69550948751954,0.0303209721394422,1161.3079833178258
21,10.0,280.0,0.4579365079365079,1322.6376786557162,2.0506509241476905,785.0996482416062,0.139999999998267,0.4592115646414519,6.269231338553323,8.569001161843227,7.044984158401848,4.551233526192314e-07,600.0,274.58885253602534,234.18487772324127,151.67674790895245,62.18787511580412,210.9728620990601,155.06302923477426,187.7417534116579,245.32381195207637,246.43122533456048,245.32381195207637,74.68816788979889,0.0309211736916742,1246.1360292416102
22,10.0,290.0,0.4567049808429119,1350.0252462831402,2.029767307914746,809.7826512254561,0.1399999999963957,0.4656398602595485,6.1566020504968595,8.059464403043568,6.902144326697358,7.949448351239448e-07,600.0,294.4893414914871,239.11017473151236,152.91153293948392,63.515088717446346,219.28090125204508,168.3595344159881,195.5950473335177,255.5828292780728,256.8574329575276,255.5828292780728,80.10110088568449,0.0315375691644967,1335.754549871423
23,10.0,300.0,0.4555555555555555,1379.884146233397,2.0105644925332475,834.6080505382671,0.1400000000017343,0.4715992028106385,6.045926078319143,7.590784006579094,6.762471129508868,1.2976330539606203e-06,600.0,316.0662209915864,244.61066806405927,154.2434977780904,64.96489853663853,228.23371115662485,182.79844068271663,204.05028277490223,266.249559575764,267.70954183840223,266.249559575764,85.97001210971149,0.0321684390743647,1430.6007815641246
24,10.0,310.0,0.4544802867383512,1412.4267688276973,1.9930963322868631,859.4799947327434,0.1399999999999243,0.4771179985532426,5.937298011690659,7.159543165210973,6.626039920277061,1.0795077099766435e-06,600.0,339.4684610638967,250.73077028862917,155.68022635154526,66.54835011723057,237.8904959876699,198.48209747892656,213.1630333987843,277.3266783306507,278.9914022356489,277.3266783306507,92.3354214093799,0.0328119280834876,1531.163833099781
25,10.0,320.0,0.4534722222222222,1447.8924731113434,1.9774163723293383,884.2968051809138,0.1399999999999089,0.4822235613481928,5.830791936029861,6.762556129064276,6.49289976556905,1.365084093698122e-06,600.0,364.8645180125671,257.5209397960584,157.23023694734954,68.27794672350113,248.31832262174692,215.52600531114524,222.99627676208976,288.81673169270636,290.70671127938283,288.81673169270636,99.24314889941824,0.0334660713614831,1637.9886361099457
