Unnamed: 0,success,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
280,False,160.0,200.0,0.8888888888888888,6937.278503688371,4.1001119302148,541.1508710257276,0.096317437916348,0.2389766801716363,5.554607055588319,12.000003999370357,6.150492253826166,152400.39182605856,600.0,4469.5665962365665,1570.7278638564517,318.28825670242577,369.08071465789374,1248.9233593416818,578.411631588358,1127.9224844763853,321.8696252384569,322.0087922780871,321.8696252384569,759.8263213602164,0.6474826308414224,1.419838462698162,2209.8306819513427
281,False,170.0,200.0,0.9388888888888888,7256.512423946735,4.160129635204548,510.361059393161,0.1068730168073696,0.2497456475371454,5.514992200062035,12.587537042569112,6.101710810881461,138505.26938734358,600.0,4661.424043917034,1651.779334096148,327.42908556220897,388.04292116586385,1315.779272337885,576.7714249188699,1189.2586602114711,327.03670995334744,327.16852535577084,327.03670995334744,792.4420874658958,0.6474826308414224,1.4433547769755872,2246.431375749925
282,False,180.0,200.0,0.9888888888888888,2584.428803696312,2.984726832330187,580.723744636948,0.1111247237736685,0.3054408659327619,6.496595782575813,12.00000000629331,7.335522129442574,373856.7568350225,600.0,1758.852765653937,520.4508116393397,190.9419917606301,125.62150367291214,397.8127761354456,215.81463263241736,352.3169527801155,226.2755779855673,226.72201928201395,226.2755779855673,299.0049701611693,0.6474826308414224,1.0473669662122744,1630.1175929548058
283,False,190.0,200.0,1.038888888888889,1683.5998965578303,2.654908372694652,477.30153177435915,0.1715104356638807,0.416991435475178,7.071972386114914,12.036003336599896,8.084232961402552,432000.604238716,600.0,1174.910092529393,324.1876006135326,161.8964529000778,79.87327918083061,238.0665258059271,140.43843055852335,208.2572217544976,186.30396855361496,187.02942544916343,186.30396855361496,199.7347157299968,0.6474826308414224,0.9479868705726006,1475.4428251629313
284,False,200.0,200.0,1.0888888888888888,1628.714739517183,2.816857027225015,443.1808802201936,0.1518979309636098,0.4231857779594949,7.5493419073850285,12.000003669943128,8.720693424497897,493552.2950332208,600.0,1172.3310413498536,322.60136074682754,159.15705146116045,77.15805746058663,215.7426116737298,136.29679408321817,186.7643615290785,160.1023504339509,160.7600592958746,160.1023504339509,199.2962770294751,0.6474826308414224,0.941419926768282,1465.222061120622
285,False,210.0,200.0,1.1388888888888888,1430.1211305923025,2.7397677003747316,366.4190093146197,0.2182267547500621,0.5257352519779613,7.79350599942278,12.079029494491834,9.051823094278264,527366.447093732,600.0,1056.0211201873713,280.49431496835246,152.39493643025816,67.41076389046543,183.50163978807785,119.00927858228718,157.9926072015586,148.6030183746691,149.35718805705108,148.6030183746691,179.52359043185308,0.6474826308414224,0.9170122881799568,1427.23411386924
286,False,220.0,200.0,1.1888888888888889,1553.0979723122448,2.9851997740568317,390.24668537057215,0.1481484579796195,0.453337883562131,8.093600254594353,12.041270513578937,9.464173684761889,606110.0996761336,600.0,1183.6728230704457,318.69951613543657,155.82418353597853,73.4321809330796,191.8921028290994,129.56591924689576,164.10286032819351,135.935954965528,136.53910151618933,135.935954965528,201.22437992197572,0.6474826308414224,0.9322502331595368,1450.9503881007267
287,True,10.0,210.0,0.1365079365079365,1639.8971854981014,3.8893840428385262,243.06347211601977,0.1400000002092397,0.5862996237712256,9.845693127880525,11.744129023184517,11.999999995101044,9.647710939198926e-05,600.0,391.7929321976149,414.34750159778145,156.0560441428356,77.71052983605135,166.55985152069445,140.33430290322713,136.65809884729862,84.55460291414907,84.96963377646402,84.55460291414907,66.60479847359451,0.6429491768761383,0.9382303496799964,1609.9342427987626
288,True,20.0,210.0,0.1841269841269841,1718.0584957492297,3.9124023949286015,245.826471208371,0.1400000000706801,0.576501780726952,9.708684886982656,12.000000000777224,11.793243642123256,2.7476391880814317e-05,600.0,444.92208768020635,433.0690866376613,158.48999694436574,81.58256627980775,176.96099067472997,143.8374781651984,145.68159090792005,87.54537437053368,87.9441632500267,87.54537437053368,75.63675490563509,0.6429491768761383,0.9475398783441868,1625.90870896894
289,True,30.0,210.0,0.2317460317460317,1767.3801455206085,3.662094992751488,284.5502124654116,0.1400000000978698,0.5321957840187146,9.09376987747431,12.000000000881393,10.883619437211989,4.160538174282719e-05,600.0,505.5657685357488,417.0390775235312,160.74655845396543,84.03519123074997,194.35065647509848,147.9370493439099,162.38900631510418,102.79051711793124,103.23803613008975,102.79051711793124,85.94618065107727,0.6429491768761383,0.953341752523374,1635.8642981445294
