,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
10,110.0,144.5950004939233,0.8496344169102593,1971.7252447716069,30.0,7.466807160402235,2.058483580286842,2.1,191.26322816656509,0.7917883876135032,0.06565144457444802,3.0000000000000018,7.152955585609684,2.4168487129868432,8.191207630956692,5.819703012832633e-07,5.939489232753182e-05,600.0,507.5108287187733,275.18102690184554,494.77039642584833,94.27069953331983,275.65182268687977,58.236693854771026,240.71239963689206,181.4695979018477,99.56537332074055,181.4695979018477,86.27684088219145,0.024152665295166797,1379.4208581097637
11,120.0,146.79826686441103,0.9063372318644702,2045.3469036849997,29.999999999999996,7.672416060978771,2.090890149112994,2.099999999999999,194.17760167250148,0.7968827146481636,0.06557836648210255,2.9999999999999996,7.1362050871569815,2.3806289239633687,8.169048106485365,7.269772655860152e-06,6.624768099475052e-05,600.0,550.0720410112589,286.33843944453093,510.95788705581197,97.9866754412393,286.61548802261973,60.87038965236213,250.3776299298825,182.45544938554167,102.50851369689168,182.45544938554167,93.512246971914,0.024322452097227117,1420.1963716020841
12,130.0,149.2172084820648,0.9601020775180367,2124.745544836285,29.999999999999993,7.867976082744847,2.1213100909256006,2.1000000000000005,197.37725989691089,0.8011952954896562,0.06550543045009681,3.0000000000000027,7.107845739150658,2.3420899888359097,8.131570284217435,2.0380017673460316e-09,2.371626278358564e-05,600.0,596.4658563696702,298.6343137358833,527.6397423300169,102.0105023352913,298.92960860602165,63.856760987811164,261.2958469977445,184.14117321626918,105.79681965727978,184.14117321626918,101.39919558284392,0.024503294487722108,1465.7539553113725
13,140.0,151.59992460864768,1.0123721977454556,2210.7464979970932,29.999999999999996,8.077836872478644,2.1535382392489053,2.1000000000000005,200.52900080508945,0.8076259416851792,0.06561593756537686,3.0000000000000004,7.0785826098287155,2.3051997596315412,8.092949692417426,1.0465051047958696e-10,8.09986713354168e-05,600.0,646.4354972528556,311.9697514895665,545.9626811881595,106.38756799269655,312.3148545200898,67.08015856024436,273.16943537514146,185.90285719703056,109.38676911033275,185.90285719703056,109.89403453298544,0.0246966517671675,1515.4906357449247
14,150.0,154.0721170454209,1.0624589473555974,2304.447912687456,30.0,8.304642841473076,2.1879025792570532,2.1000000000000005,203.79909662092396,0.8150571872377556,0.0658003342315512,3.0000000000000457,7.048419317877131,2.2680806180596114,8.053195793783503,7.1007987276772155e-06,5.677231940840461e-05,600.0,700.5057689430243,326.5280034524833,566.2435428326526,111.1781322001282,326.9453488447561,70.6176155474889,286.15322062159805,187.74277378977192,113.30098499329867,187.74277378977192,119.08598072031413,0.02490448990989446,1569.7198406585067
15,160.0,156.83344347957927,1.1090794582608674,2407.135634467334,30.0,8.513348295318025,2.2191113091251866,2.1000000000000005,207.45164481425823,0.8216606548449698,0.0660064114128524,3.0,7.001863464294211,2.228003025503967,7.9919458299118835,8.39885655956607e-06,5.559234314488588e-05,600.0,760.7606480842027,342.90831181168096,587.0207601770554,116.45337042169801,343.7850004848636,74.72106248156828,301.1951889686262,190.6315078266673,117.76628190175107,190.6315078266673,129.32931017431443,0.025129051549241527,1631.5839555383852
16,170.0,159.6958480087324,1.1534124949797884,2520.486878386566,29.999999999999904,8.750286834819683,2.2540815681472544,2.1000000000000005,211.23789419145018,0.8297867129973567,0.06630461380359517,2.9999999999999254,6.957154964933853,2.1878621479879827,7.933249868796423,8.908663042817011e-06,7.709817704605322e-05,600.0,826.5227296776839,360.9516829339464,610.714943500576,122.30630283112134,362.28701115478606,79.25129759823324,317.71177261166446,193.46280472283817,122.65591180942417,193.46280472283817,140.50886404520622,0.025373256748440303,1699.3269595379147
17,180.0,162.64987124356563,1.1955605303957721,2646.700861986582,29.999999999999975,8.999357242560835,2.2903346836564165,2.0999999999999934,215.14533233275912,0.8399756500096213,0.0667971295635267,3.000000000000005,6.906043469431308,2.147789637640837,7.866295310760159,3.575845642700415e-06,4.3771796705748694e-05,600.0,899.7348518156741,381.21914762337235,636.8941374185072,128.85934115477684,383.2441648683294,84.36626871097927,336.4609078896655,196.77016662735016,128.1807279086397,196.77016662735016,152.95492480866457,0.025640905974214395,1775.8701021014133
18,190.0,166.03797864894818,1.2332053973529817,2788.676578003756,30.0,9.26705213292383,2.3287439879528806,2.0999999999999983,219.6269558848526,0.8492832507226219,0.06721300561214187,2.9999999999999956,6.849152669558574,2.103681277965591,7.791954323750224,2.4737296655530372e-08,1.0763943999106747e-05,600.0,981.8587504626375,404.2311353861511,666.3152731160683,136.27469988391186,407.15643416713107,90.31992881356099,357.89180251015404,200.54274258524478,134.40817288570375,200.54274258524478,166.91598757864836,0.025936945831503952,1862.147762773875
19,200.0,169.59273895923232,1.2681846607914653,2950.465408526862,29.999999999999993,9.561241889200645,2.370321987878784,2.1000000000000005,224.32899240010056,0.861281867757205,0.0678558813779996,3.0000003662555175,6.786692481026835,2.059156393929318,7.710557983746503,5.938003059924313e-06,9.673191094232454e-06,600.0,1075.0452801409865,430.6264621125149,700.010645155318,144.77991094263058,434.7427582397918,97.18693865600828,382.65264521015285,204.79914123895014,141.56613783262745,204.79914123895014,182.7576976239677,0.0262682415717487,1961.317241279196
20,210.0,173.7314812614685,1.2976508154849489,3137.7691468145704,29.99999999999999,9.849077621567861,2.410386268305006,2.1,229.803546642154,0.8728371621681636,0.06855148875031343,3.0000000000000013,6.704084441611137,2.0096410045067246,7.60326060312516,5.41725254166181e-06,7.428996562213333e-05,600.0,1184.3011716564229,461.9164789893089,736.862919318224,154.69719601331303,468.0384285345452,105.57249595390529,412.6873075381444,210.62018677500694,150.08297216556514,210.62018677500694,201.3311991815919,0.026644313149016607,2079.31307187859
21,220.0,178.1467034477843,1.3238261385949048,3359.664418775178,30.0,10.187707740899898,2.456777620797591,2.1000000000000005,235.6437876293442,0.8888113763095219,0.06959324496869732,3.0000000000000018,6.61601135301836,1.9591496223119045,7.489306825369369,2.781296402076805e-07,6.873437439181948e-05,600.0,1312.5755864395119,499.15293039043,781.4035268849913,166.54066567990765,507.80813990629423,115.59802112062344,448.594842902498,217.07834378083575,160.20650765263704,217.07834378083575,223.137849694717,0.027080288933704816,2219.568820869715
