,scenario,year,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
40,conservative,2070,361.21218216657013,True,96.56064,241.4016,0.4888888888888889,1795.107047669974,29.99999999999999,5.514700218573292,1.7252895050308819,1.5997709008944896,419.15998098061,0.2586302673853674,0.045268051119051515,3.0000002666774237,6.387042398742066,1.45331327259526,7.195161234944976,4.957621690948599e-08,1.833415130143276e-05,600.0,417.06023424076966,284.99912569156646,407.63489551169175,85.41707406565605,281.054506233358,108.01525673776179,249.48809193484345,235.18990965576285,191.3504529702906,235.18990965576285,102.44012136740632,0.2729121403446563,0.009153409031417752,0.6785074078866759,1538.490975640366
41,nominal,2030,312.9344482485471,True,96.56064,241.4016,0.4888888888888889,1919.9953014775974,29.999999999999996,5.904628134303109,1.7960588743568398,1.6118714697506435,416.0131135252384,0.2766235578231059,0.045308418159176356,3.0000014820449903,6.42412527009008,1.4533131991825872,7.242595184601937,1.8789309663702625e-08,3.725709981020497e-05,600.0,494.2575030205064,302.2040374901843,431.8713362214936,91.66852860483236,298.87264347363435,109.75317825709027,265.097696687451,232.1193378277965,191.5209314109493,232.1193378277965,105.17573532029019,0.2729121403446563,0.009153409031417752,0.6894242811054158,1563.244590315781
42,nominal,2031,322.66674649083257,True,96.56064,241.4016,0.4888888888888889,1891.0131304460301,29.99999999999999,5.815518940408751,1.780097251084593,1.6073300076619577,417.18670675526545,0.2724479479880089,0.045394502270004584,3.000014707635599,6.416651269338348,1.4533131713884346,7.23302861448549,2.991285619202699e-08,4.055060894267569e-05,600.0,476.4162756946205,298.1941525198413,426.19519512353065,90.21387504404105,294.70405217159663,109.34197951595725,261.4414004472377,232.73375663855185,191.88312137028035,232.73375663855185,104.53210896449063,0.2729121403446563,0.009153409031417752,0.6868412867659788,1557.3877441927132
43,nominal,2032,332.3954606822468,True,96.56064,241.4016,0.4888888888888889,1864.174539332155,29.999999999999996,5.730802910950984,1.764808766433807,1.6070122649581648,417.2695369048427,0.2685811746916543,0.04525782781897047,3.000012242357153,6.408299819065536,1.453313692988374,7.222342706195065,7.815779490272234e-08,4.2308082099083075e-05,600.0,459.88554542256037,294.50736863795976,420.91922523686094,88.86890450109325,290.90001903250385,108.96981521749333,258.1121687472866,233.42295445035953,191.30571119176852,233.42295445035953,103.94743005765005,0.2729121403446563,0.009153409031417752,0.6845037495765401,1552.0874632681816
44,nominal,2033,342.1027074770989,True,96.56064,241.4016,0.4888888888888889,1839.2896003071392,29.999999999999996,5.653404452149773,1.7507417764347226,1.6041066250877527,418.0263595235788,0.26499587405888025,0.04527716082141163,3.0000051325558124,6.401058320799558,1.453313416293953,7.213080238396612,1.2267122784237472e-07,5.55351289367551e-05,600.0,444.48834248147654,291.0757012755346,416.109357892946,87.62365084672177,287.341484505861,108.62303119802101,254.99364203884036,234.02282599176073,191.38833931661537,234.02282599176073,103.40125247534635,0.2729121403446563,0.009153409031417752,0.6823252644878887,1547.1478272222075
45,nominal,2034,351.770761094457,True,96.56064,241.4016,0.4888888888888889,1816.1904995269301,29.999999999999996,5.581378123917773,1.7375643762922106,1.601923596348372,418.5961274628266,0.26166786828958566,0.04526692375672706,3.00000441159045,6.394089698860104,1.453313414027466,7.204169629342475,1.7384031991696247e-08,7.874192623811401e-05,600.0,430.1601445886505,287.89279412725057,411.6771006460672,86.46933382971993,284.04207401887226,108.30314180258765,252.10268399700269,234.60209484064526,191.34515881027394,234.60209484064526,102.89607778902683,0.2729121403446563,0.009153409031417752,0.6803158496411036,1542.5915518268873
46,nominal,2035,361.38218207552205,True,96.56064,241.4016,0.4888888888888889,1794.7396249182561,29.999999999999993,5.51352791601234,1.7250730313891436,1.5997376142047994,419.1686999894069,0.25857733090748786,0.04526785033071764,3.0000002860129964,6.386912195139462,1.453313273641646,7.1949948254635645,4.8992017553928235e-08,1.8384073557001136e-05,600.0,416.8319282845269,284.94882361380337,407.56441311575463,85.39874756945173,281.0027083641576,108.01028124667484,249.44279578444636,235.20078896407324,191.34960176078485,235.20078896407324,102.4322296255027,0.2729121403446563,0.009153409031417752,0.6784761543869708,1538.4201094616121
47,nominal,2036,370.91994161589054,True,96.56064,241.4016,0.4888888888888889,1774.7818586768503,29.999999999999996,5.449619429252324,1.7132368700373437,1.597892024821437,419.65255901267733,0.2557019132959703,0.045259536658261344,3.000002338753324,6.379632832382077,1.4533133575388175,7.1856928188748705,2.6286008036890962e-08,2.1117078203738547e-05,600.0,404.41973856008235,282.21943184023417,403.7434152123803,84.40386839637262,278.19498477534927,107.74126129128793,246.98827286562803,235.81012627980385,191.3141976145209,235.81012627980385,102.00499515421323,0.2729121403446563,0.009153409031417752,0.6767863207641649,1534.5884729182203
48,nominal,2037,380.3675396150067,True,96.56064,241.4016,0.4888888888888889,1756.2056844204294,29.99999999999999,5.389753953518421,1.7020863776638753,1.5960533714398943,420.1355876497516,0.2530255487186204,0.04525942674886991,3.000005274122249,6.372500548216415,1.453313456343276,7.176581687143847,1.783208958272553e-08,2.3747242043312905e-05,600.0,392.84660990370145,279.6838588751882,400.2011931884509,83.47889556729274,275.59129593358296,107.49297503061297,244.71339712700578,236.40925858132655,191.31335863891914,236.40925858132655,101.60974694951372,0.2729121403446563,0.009153409031417752,0.6752267344283117,1531.0521673811659
49,nominal,2038,389.7091147487687,True,96.56064,241.4016,0.4888888888888889,1738.9019683026759,29.999999999999993,5.33362594010264,1.6915756372651845,1.5942169420780723,420.6191064080356,0.2505325137031854,0.045267070455311566,3.0000084753396656,6.365516972033891,1.4533135503602133,7.167663329470611,1.597597076852253e-08,2.660759801343142e-05,600.0,382.0489972334067,277.32662542547973,396.9133182502728,82.61818564884314,273.1752936866441,107.26362961703778,242.60374523354008,236.99792852983833,191.34526052556726,236.99792852983833,101.24382402169029,0.2729121403446563,0.009153409031417752,0.6737861242935924,1527.78563607153
50,nominal,2039,398.9295450753591,True,96.56064,241.4016,0.4888888888888889,1722.7708594245864,29.999999999999993,5.281894909670906,1.6818392045453514,1.5923013111895166,421.125232886204,0.2482084222191829,0.045285127393815565,3.000007782322921,6.359274413941078,1.453313485259262,7.159693636588833,8.432721188000869e-11,3.739164469515083e-05,600.0,371.9529700035867,275.1222031516613,393.88521002392105,81.81659111620061,270.90682793116355,107.04874459330316,240.62075095232484,237.52584272375137,191.42167618330723,237.52584272375137,100.90045979681248,0.2729121403446563,0.009153409031417752,0.6724362745934809,1524.7249007605321
51,nominal,2040,408.0145379210378,True,96.56064,241.4016,0.4888888888888889,1707.7255189754273,29.999999999999996,5.232700656876118,1.6725359002860318,1.5906920279773262,421.55088817508306,0.24604076295433813,0.04529341532120576,3.0000105708726723,6.352764271485276,1.4533135551861411,7.151384687597674,3.994678365870641e-09,3.877320848723267e-05,600.0,362.53398035877905,273.0778110477618,391.05031431507354,81.0696400674835,268.81613200109524,106.85182142549158,238.7964839784188,238.0781096541219,191.4563535934681,238.0781096541219,100.58501144419803,0.2729121403446563,0.009153409031417752,0.6711993163769232,1521.9201428001943
52,nominal,2041,416.95070805300065,True,96.56064,241.4016,0.4888888888888889,1693.6835962037405,29.999999999999996,5.187590834890319,1.663966523304393,1.5867749188652553,422.5927306117246,0.2440176712140657,0.04543795037034499,3.000002031902477,6.347114984889286,1.4533123890377635,7.144176408506117,1.1439775171595556e-07,3.9676865551452334e-05,600.0,353.714110417817,271.1602369812107,388.4424396988889,80.37310806332115,266.8430618061796,106.66620872108365,237.0719169514318,238.55878065878915,192.06840008713883,238.55878065878915,100.28731717519132,0.2729121403446563,0.009153409031417752,0.6700328358586312,1519.2751904683662
53,nominal,2042,425.725643421061,True,96.56064,241.4016,0.4888888888888889,1680.5691851751803,29.999999999999996,5.143445381630351,1.6555442432759548,1.5842460398985367,423.26483122586933,0.24212821084159342,0.04551238227793339,3.0000195388803594,6.340466620652155,1.4533121850120865,7.135695665989771,5.026813187924972e-07,4.6068231208565165e-05,600.0,345.49641755606973,269.39400692556313,385.9624361416743,79.72311191006392,265.0544960998981,106.49943234472455,235.51581567374396,239.1261697247593,192.38078199548755,239.1261697247593,100.01894557133595,0.2729121403446563,0.009153409031417752,0.6689851219905381,1516.8995372148001
54,nominal,2043,434.32795802938244,True,96.56064,241.4016,0.4888888888888889,1668.3163321718391,29.999999999999996,5.1004670567801735,1.647309730394891,1.5854140373407526,422.95428897440854,0.24036287954694943,0.04538102561217869,3.000010438057504,6.333043219740078,1.4533131226811193,7.126229241657617,2.2761402362903027e-07,4.5389936226487194e-05,600.0,337.83278356987796,267.7652048215003,383.6088008963602,79.11628008947282,263.43043530347336,106.3492725718145,234.10927091980213,239.76189816820184,191.82670138097282,239.76189816820184,99.77655166943543,0.2729121403446563,0.009153409031417752,0.6680423117921429,1514.7617492332504
55,nominal,2044,442.74733177469426,True,96.56064,241.4016,0.4888888888888889,1656.86116939117,29.999999999999996,5.061357492974724,1.6397862619680823,1.5850209399566213,423.0541765722959,0.23871247556867256,0.045343464462644534,3.000045953624468,6.326715634744105,1.4533145393258529,7.118162685439763,1.8272139357122796e-10,5.278762986668429e-05,600.0,330.6400715254372,266.229603596219,381.4493996536219,78.54936012550012,261.8833001268888,106.20594318818601,232.76528545495145,240.30561957072265,191.6633914526274,240.30561957072265,99.54520642306333,0.2729121403446563,0.009153409031417752,0.6671426259687914,1512.7217442103881
56,nominal,2045,450.9745373500204,True,96.56064,241.4016,0.4888888888888889,1646.1488880579125,29.999999999999993,5.025936443823465,1.6329473192174766,1.5833271761044316,423.5079671616953,0.23716910232576555,0.045381581826293954,3.000037251250594,6.321489592996776,1.4533140202437298,7.11150211467413,3.562121833056153e-07,5.867519186076552e-05,600.0,323.8861890510346,264.77968455031277,379.471112853707,78.0195615762172,260.40521997878295,106.0688228273079,231.4769596512092,240.7559666562918,191.8256235365465,240.7559666562918,99.32380849771906,0.2729121403446563,0.009153409031417752,0.6662810535425993,1510.7681599353316
57,nominal,2046,459.0014545557154,True,96.56064,241.4016,0.4888888888888889,1636.1259468153767,29.999999999999993,4.993051356660674,1.626576766649257,1.5823621371958956,423.76738956157106,0.23572504584071663,0.0453815155277268,3.0000292047377157,6.31671854999606,1.4533137501148645,7.105422789677515,2.868076702355893e-06,6.789395636430057e-05,600.0,317.55518182387726,263.4200108488323,377.6348255450543,77.52416837651538,259.01517280936906,105.93999741569404,230.26440441971695,241.16811944278962,191.82637230398953,241.16811944278962,99.11563744402775,0.2729121403446563,0.009153409031417752,0.6654717011944035,1508.9329827960119
58,nominal,2047,466.82107257661187,True,96.56064,241.4016,0.4888888888888889,1626.7444886818791,29.999999999999996,4.96259729639935,1.6206580231069925,1.5817207103937425,423.94027730725537,0.23437341111303817,0.04536607637268592,3.000021847926861,6.312424537011871,1.4533136018699393,7.099952405038764,2.818357236478164e-06,8.17288146097871e-05,600.0,311.61777943260597,262.1434551945878,375.93153872161906,77.06075573209569,257.70517796192706,105.8186444419087,229.1204779805841,241.53989393992524,191.76205193025822,241.53989393992524,98.9194272994964,0.2729121403446563,0.009153409031417752,0.6647093436808534,1507.2043647423616
